feature,pearson_r,pearson_p,spearman_r,spearman_p,n
acc_mag_dom_freq,-0.2978650733383437,0.0,-0.31988796285068377,0.0,16086
acc_mag_jerk_mean,-0.21656478056472364,4.932407537165813e-170,-0.24104637351127675,2.2404657977097156e-211,16086
acc_z_jerk_mean,-0.20283418394749833,5.755553325587387e-149,-0.2114668666757578,4.901635419470776e-162,16086
acc_x_jerk_mean,-0.20136310522155684,8.479925210671593e-147,-0.1905993360568772,1.8900199194912134e-131,16086
acc_z_spectral_energy,-0.17931074422251525,2.5365271135754972e-116,-0.19637397824388592,1.4297361570296378e-139,16086
acc_mag_spectral_energy,-0.16215959266668803,3.298529937083585e-95,-0.17030707889123609,5.8541139750064595e-105,16086
acc_max_intercorr,0.15548098843089547,1.372428465571333e-87,0.16763995240180593,1.0348099934119063e-101,16086
acc_mag_energy,-0.1551029866680813,3.620006800929477e-87,-0.1835102338659459,7.790534869790063e-122,16086
acc_x_entropy,-0.15499749786030537,4.7431615167502065e-87,-0.15983736564601828,1.6056205599803464e-92,16086
acc_mag_mean,-0.15132572652010676,5.117980972366046e-83,-0.19482903589017606,2.2569818595958226e-137,16086
acc_z_std,-0.14822745774303994,1.0811653912373037e-79,-0.18197996757100593,8.242913676658182e-120,16086
acc_z_rms,-0.14822202429604078,1.095620161154914e-79,-0.18198056620318212,8.227962488734466e-120,16086
acc_z_energy,-0.14759858462225753,5.01203417413154e-79,-0.18198061145559732,8.226833384226634e-120,16086
acc_sma,-0.14412675050561366,2.111439818524835e-75,-0.1866888170845444,4.251607127777392e-126,16086
acc_corr_yz,0.14287288123119768,4.089051367156488e-74,0.14949318942878664,4.833515160306604e-81,16086
acc_mag_rms,-0.14270063958761559,6.130717804605565e-74,-0.18351022188768693,7.790820412971165e-122,16086
acc_x_spectral_energy,-0.1406639936975187,7.089781133059528e-72,-0.13146279803316882,6.166693240452511e-63,16086
acc_mag_entropy,-0.13701382783858845,2.9618392836347486e-68,-0.1198243909789736,1.6165252361945289e-52,16086
acc_x_dom_freq,-0.13110722207067865,1.327456848978406e-62,-0.09231847851257254,8.638462870684215e-32,16086
acc_z_peak2peak,-0.11563458842788626,5.2225958672582405e-49,-0.15337485671853723,2.9565944219156463e-85,16086
acc_x_energy,-0.1131196931912169,5.797634330632201e-47,-0.11054433201209896,6.462907123520722e-45,16086
acc_magnitude_std,-0.10938316942136639,5.22149721776989e-44,-0.15058235673684733,3.2609565964175145e-82,16086
acc_mag_std,-0.10938316942136639,5.22149721776989e-44,-0.15058235673684733,3.2609565964175145e-82,16086
acc_corr_xz,-0.0989949739120859,2.5360529208062776e-36,-0.11724533987269667,2.4199753335784196e-50,16086
acc_magnitude_range,-0.09885814428864853,3.1640127795907686e-36,-0.1534742816932086,2.298208247227209e-85,16086
acc_mag_peak2peak,-0.09885814428864853,3.1640127795907686e-36,-0.1534742816932086,2.298208247227209e-85,16086
acc_y_jerk_mean,-0.09342635934091215,1.608263081671509e-32,-0.1157928529291677,3.869361355625334e-49,16086
acc_x_std,-0.09212518665837394,1.1558942553408465e-31,-0.11055477853797348,6.34191716220304e-45,16086
acc_x_rms,-0.09211402480404834,1.1754761129749922e-31,-0.11054433201209896,6.462907123520722e-45,16086
acc_x_peak2peak,-0.09174376327688935,2.049862408604683e-31,-0.13101940723357777,1.6036483922993814e-62,16086
acc_z_dom_freq,0.08073581359055955,1.1154164752978428e-24,0.07822661338860844,2.902930224255991e-23,16086
acc_y_peak2peak,-0.062137602538862094,3.071677508885512e-15,-0.10026099290868319,3.2271912326747797e-37,16086
acc_y_rms,-0.0614854163098844,5.949645494670316e-15,-0.09489708561408408,1.673629063601219e-33,16086
acc_y_std,-0.06147866731392176,5.990274960508803e-15,-0.094896446539173,1.675288353264113e-33,16086
acc_y_energy,-0.052482158141610544,2.7305331138713575e-11,-0.09489710153987667,1.6735877348349487e-33,16086
acc_y_spectral_energy,-0.049366382916744105,3.740220217388836e-10,-0.09585801143094848,3.743398020619134e-34,16086
acc_corr_xy,-0.04771415999004291,1.4077277386263135e-09,-0.07889352721925781,1.2330311475186074e-23,16086
acc_y_entropy,-0.032642556569051066,3.4601127080732076e-05,-0.008761582821929797,0.2664944331308658,16086
acc_z_entropy,0.031486881439731405,6.491856926626362e-05,0.06340909779112792,8.300427294920866e-16,16086
acc_y_dom_freq,0.01708981602131847,0.03019664428742152,0.035446842388882,6.898128118890293e-06,16086
acc_clip_ratio,-0.01177340811794276,0.1353942443875703,-0.01610318710941304,0.0411167748695751,16086
acc_z_mean,-0.0074972278569169735,0.3416971068305539,-0.009109182789100476,0.2479850906867468,16086
acc_y_mean,-0.00017843938272766972,0.9819455612364734,-0.006727472647554445,0.39355244483061474,16086
acc_x_mean,1.542295935948255e-05,0.9984393777996974,-0.0006573778408038702,0.9335580154314629,16086
acc_flatline_ratio,,,,,16086
acc_valid,,,,,16086
